smote_strategy,auprc,f1_score,opt_threshold,n_estimators,max_depth,learning_rate,subsample,colsample_bytree
0.2,0.2777777777777778,0.4,0.99852234,100,4,0.05,0.8,0.9
0.15,0.2777777777777778,0.4,0.99841666,100,5,0.05,0.9,0.8
0.15,0.2777777777777778,0.4,0.99843913,100,5,0.05,0.9,0.9
0.25,0.2777777777777778,0.4,0.99978787,200,3,0.05,0.9,0.8
0.2,0.26785714285714285,0.4444444444444444,0.99675494,200,5,0.02,0.9,0.9
0.15,0.26785714285714285,0.4444444444444444,0.9963831,200,4,0.02,0.9,0.9
0.2,0.26785714285714285,0.4444444444444444,0.99828845,100,4,0.05,0.9,0.9
0.25,0.26785714285714285,0.4444444444444444,0.99852055,100,5,0.05,0.9,0.9
0.25,0.26785714285714285,0.4444444444444444,0.9986313,100,5,0.05,0.8,0.9
0.25,0.26666666666666666,0.4,0.99973804,200,5,0.05,0.9,0.8
0.2,0.26666666666666666,0.5,0.99672216,200,4,0.02,0.9,0.9
0.25,0.26666666666666666,0.4,0.9997651,200,3,0.05,0.8,0.8
0.25,0.26666666666666666,0.4,0.9986059,100,4,0.05,0.9,0.8
0.15,0.26666666666666666,0.4,0.99966264,200,3,0.05,0.9,0.9
0.25,0.26666666666666666,0.4,0.99977666,200,5,0.05,0.8,0.8
0.2,0.26666666666666666,0.4,0.9985964,100,5,0.05,0.8,0.9
0.15,0.25757575757575757,0.4,0.9996147,200,5,0.05,0.8,0.8
0.15,0.25757575757575757,0.4,0.9996536,200,5,0.05,0.9,0.8
0.2,0.25,0.4,0.9810441,100,5,0.02,0.8,0.8
0.15,0.25,0.4,0.9797233,100,4,0.02,0.8,0.8
0.25,0.25,0.4,0.9966037,200,3,0.02,0.8,0.8
0.2,0.25,0.4,0.99665475,200,4,0.02,0.8,0.9
0.25,0.25,0.4,0.9984831,100,3,0.05,0.9,0.9
0.25,0.25,0.4,0.9966133,200,4,0.02,0.9,0.8
0.25,0.25,0.4,0.9984787,100,3,0.05,0.8,0.9
0.2,0.24285714285714285,0.4444444444444444,0.9983802,100,5,0.05,0.9,0.9
0.15,0.2361111111111111,0.36363636363636365,0.9960729,100,4,0.05,0.9,0.8
0.2,0.2361111111111111,0.36363636363636365,0.9964122,200,4,0.02,0.8,0.8
0.2,0.225,0.4,0.99809057,100,3,0.05,0.8,0.8
0.15,0.225,0.4,0.9975198,100,3,0.05,0.9,0.9
0.2,0.225,0.4,0.9963224,200,3,0.02,0.8,0.8
0.15,0.225,0.3333333333333333,0.9951934,100,5,0.05,0.8,0.8
0.15,0.225,0.4,0.996011,200,3,0.02,0.8,0.8
0.2,0.225,0.4,0.9963607,200,3,0.02,0.9,0.8
0.15,0.225,0.4,0.99785763,100,3,0.05,0.8,0.8
0.15,0.2222222222222222,0.36363636363636365,0.97916543,100,3,0.02,0.9,0.8
0.15,0.2222222222222222,0.36363636363636365,0.9797416,100,4,0.02,0.8,0.9
0.2,0.2222222222222222,0.36363636363636365,0.9806301,100,4,0.02,0.9,0.9
0.2,0.2222222222222222,0.36363636363636365,0.9805735,100,4,0.02,0.9,0.8
0.2,0.2222222222222222,0.36363636363636365,0.980613,100,4,0.02,0.8,0.9
0.2,0.2222222222222222,0.36363636363636365,0.9801718,100,3,0.02,0.9,0.8
0.2,0.2222222222222222,0.36363636363636365,0.98101497,100,5,0.02,0.8,0.9
0.2,0.2222222222222222,0.36363636363636365,0.9801569,100,3,0.02,0.8,0.8
0.2,0.2222222222222222,0.36363636363636365,0.9982778,100,3,0.05,0.9,0.8
0.2,0.2222222222222222,0.36363636363636365,0.9983215,100,3,0.05,0.9,0.9
0.2,0.2222222222222222,0.36363636363636365,0.9805876,100,4,0.02,0.8,0.8
0.15,0.20833333333333331,0.4,0.99783903,100,3,0.05,0.8,0.9
