planet_name,host_star_name,habitability_prob
Kepler-220 d,Kepler-220,0.4547
Kepler-1565 b,Kepler-1565,0.4546
Kepler-267 c,Kepler-267,0.4535
Kepler-1761 b,Kepler-1761,0.4531
Kepler-398 d,Kepler-398,0.4501
Kepler-28 b,Kepler-28,0.447
Kepler-331 b,Kepler-331,0.4465
K2-21 c,K2-21,0.4461
Kepler-1410 b,Kepler-1410,0.4437
Kepler-993 b,Kepler-993,0.4431
EPIC 206042996 b,EPIC 206042996,0.4421
Kepler-28 c,Kepler-28,0.4409
Kepler-415 b,Kepler-415,0.4396
Kepler-510 b,Kepler-510,0.4352
Kepler-220 b,Kepler-220,0.4346
Kepler-580 b,Kepler-580,0.4345
Kepler-235 b,Kepler-235,0.4334
K2-377 b,K2-377,0.4331
Kepler-1351 b,Kepler-1351,0.4325
Gl 410 b,Gl 410,0.4312
K2-128 b,K2-128,0.4305
TOI-1782.02,TOI-1782,0.4289
Kepler-1845 b,Kepler-1845,0.428
Kepler-55 c,Kepler-55,0.4247
Kepler-928 b,Kepler-928,0.4244
Kepler-1110 b,Kepler-1110,0.4228
Kepler-445 d,Kepler-445,0.4225
HD 7924 b,HD 7924,0.4158
Kepler-1228 b,Kepler-1228,0.4156
Kepler-1952 b,Kepler-1952,0.4149
HR 5183 b,HR 5183,0.4129
Gaia-4 b,Gaia-4,0.4106
Kepler-283 b,Kepler-283,0.4094
Kepler-1898 b,Kepler-1898,0.4092
Kepler-1059 b,Kepler-1059,0.4077
Kepler-647 c,Kepler-647,0.4075
Kepler-1337 b,Kepler-1337,0.4058
GJ 1289 b,GJ 1289,0.403
Kepler-35 b,Kepler-35,0.4014
Kepler-220 e,Kepler-220,0.4006
OGLE-2016-BLG-0007L b,OGLE-2016-BLG-0007L,0.3983
Kepler-55 f,Kepler-55,0.3973
K2-35 c,K2-35,0.3955
Kepler-354 d,Kepler-354,0.3936
Kepler-753 b,Kepler-753,0.3928
Kepler-1948 b,Kepler-1948,0.3927
Kepler-52 b,Kepler-52,0.3917
Kepler-55 b,Kepler-55,0.3914
Kepler-1907 b,Kepler-1907,0.3906
Kepler-55 e,Kepler-55,0.39
HIP 71135 b,HIP 71135,0.3891
GJ 9689 b,GJ 9689,0.3889
Kepler-1503 b,Kepler-1503,0.3889
Kepler-367 c,Kepler-367,0.3867
Kepler-413 b,Kepler-413,0.386
Kepler-445 b,Kepler-445,0.3858
Kepler-298 c,Kepler-298,0.3858
Gl 378 b,Gl 378,0.3837
Kepler-114 b,Kepler-114,0.3819
Kepler-1624 b,Kepler-1624,0.3815
Kepler-1805 b,Kepler-1805,0.381
K2-33 b,K2-33,0.3803
Kepler-1388 c,Kepler-1388,0.3802
TOI-1782.01,TOI-1782,0.3791
Kepler-1614 b,Kepler-1614,0.3777
Kepler-756 b,Kepler-756,0.3773
BD-06 1339 c,BD-06 1339,0.3769
HD 216536 b,HD 216536,0.3762
Kepler-55 d,Kepler-55,0.3745
Kepler-354 c,Kepler-354,0.3744
Kepler-1718 b,Kepler-1718,0.3741
Kepler-1907 c,Kepler-1907,0.3741
55 Cnc B b,55 Cnc B,0.3735
Kepler-1965 b,Kepler-1965,0.3712
Kepler-1388 e,Kepler-1388,0.3708
Kepler-1783 b,Kepler-1783,0.37
K2-209 b,K2-209,0.369
HD 108236 b,HD 108236,0.3687
Kepler-298 b,Kepler-298,0.3686
Kepler-383 c,Kepler-383,0.3675
Kepler-1322 c,Kepler-1322,0.3669
Kepler-1757 b,Kepler-1757,0.3632
HD 108236 f,HD 108236,0.3628
Kepler-367 b,Kepler-367,0.3617
Kepler-1388 b,Kepler-1388,0.3616
HD 108236 c,HD 108236,0.3607
K2-149 b,K2-149,0.3597
Kepler-1798 b,Kepler-1798,0.3591
BD-06 1339 b,BD-06 1339,0.3566
K2-374 b,K2-374,0.3558
Kepler-568 b,Kepler-568,0.3556
K2-212 b,K2-212,0.3555
TOI-1233.01,HD 108236,0.3551
GJ 740 b,GJ 740,0.3545
Kepler-1146 b,Kepler-1146,0.3543
GJ 86 b,GJ 86,0.354
Kepler-615 b,Kepler-615,0.3528
Kepler-1688 b,Kepler-1688,0.3522
Kepler-1363 b,Kepler-1363,0.3515
HD 108236 e,HD 108236,0.3506
K2-173 b,K2-173,0.3503
Kepler-1892 b,Kepler-1892,0.3502
TOI-1634 b,TOI-1634,0.3481
Kepler-1388 d,Kepler-1388,0.3481
WASP-58 b,WASP-58,0.3454
TOI-1634 c,TOI-1634,0.3452
HD 11977 b,HD 11977,0.3446
Kepler-298 d,Kepler-298,0.3444
Kepler-482 b,Kepler-482,0.3435
Kepler-155 c,Kepler-155,0.3428
HD 190360 b,HD 190360,0.3411
HD 216520 c,HD 216520,0.3401
EPIC 220554210 c,K2-282,0.3397
Kepler-1460 b,Kepler-1460,0.3392
Kepler-1669 b,Kepler-1669,0.3391
