planet_name,host_star_name,radius_earth,mass_earth,orbital_period,semi_major_axis,equilibrium_temp,star_temp,star_luminosity,star_metallicity,spectral_type,log_mass_earth,log_orbital_period,log_semi_major_axis,stellar_flux,log_stellar_flux,surface_gravity,log_surface_gravity,density,habitable_zone,habitable,label_source,spectral_class,spectral_B,spectral_F,spectral_G,spectral_K,spectral_M
EPIC 229004835 b,EPIC 229004835,2.18,19.3,16.1388,-1.602749797907765,734.0,5839.0,-0.7932360814078803,-0.11,,3.0106208860477417,2.841344899050091,0.1413619383240855,-0.024573167152576438,-0.024880126501396937,4.061105967511152,1.6215850300706665,0.44473285950646374,False,0,measured,,False,False,False,False,False
EPIC 229004835 b,EPIC 229004835,2.332,10.4,16.141132,0.1237,804.0,5868.0,-0.7337908893939693,-0.12,,2.4336133554004498,2.8414809553295255,0.11662681193171963,-3.8161290433556174,,1.9123890446586977,1.0689737219116138,0.19577583806103294,False,0,measured,,False,False,False,False,False
EPIC 246851721 b,EPIC 246851721,11.780659,953.49,6.180235,0.07229,1401.0,6202.0,0.52634,0.141,F5 V,6.861177166421555,1.9713321123295384,0.06979654845208653,8.014936070039692,2.1988827651203957,6.870320102787247,2.0630987353997723,0.13922549727254763,False,0,measured,F,False,True,False,False,False
EPIC 248847494 b,EPIC 248847494,12.44199,4131.79,3650.0,4.5,183.0,4898.0,-0.6850130395842102,-0.23,,8.326708002671594,8.202756381655638,1.7047480922384253,-0.0026919311440057095,-0.002695560906157647,26.69061275496189,3.3210934660446303,0.5121298466849487,False,0,measured,,False,False,False,False,False
EPIC 249893012 b,EPIC 249893012,1.95,8.75,3.5951,0.047,1616.0,5430.0,-0.1114851048223342,0.2,G8 IV/V,2.277267285009756,1.5249905183564811,0.045928931888399804,-4.016162406879263,,2.3011176857330704,1.1942611037754127,0.2817186571696929,False,0,measured,G,False,False,True,False,False
EPIC 249893012 c,EPIC 249893012,3.67,14.67,15.624,0.13,990.0,5430.0,-0.5409841958877295,0.2,G8 IV/V,2.7517480563679295,2.8108474343568717,0.12221763272424921,-2.547346417459359,,1.0891758050026357,0.73676963652627,0.07085056400365006,False,0,measured,G,False,False,True,False,False
EPIC 249893012 d,EPIC 249893012,3.94,10.18,35.747,0.22,752.0,5430.0,-0.7178812371177269,0.2,G8 IV/V,2.414126467726953,3.6040565896736583,0.1988508587451652,-1.1803135066137525,,0.6557757221263109,0.504269613292519,0.039734751676164824,False,0,measured,G,False,False,True,False,False
G 9-40 b,G 9-40,2.025,11.7,5.746007,0.0385,456.0,3348.0,-1.97102,0.04,M2.5 V,2.5416019934645457,1.908950774290862,0.03777736433402994,-105.81803876977148,,2.8532235939643344,1.3489100950955855,0.3363738064635903,False,0,measured,M,False,False,False,False,True
G 9-40 b,G 9-40,1.9,4.0,5.7459982,0.0418,440.6,3395.0,-1.96019,-0.07,,1.6094379124341003,1.9089494698146379,0.04094998632895411,-89.27620930705066,,1.10803324099723,0.745755399528805,0.1392228690117178,False,0,measured,,False,False,False,False,False
GJ 1132 b,GJ 1132,1.43,1.63,1.6289287,0.01533,644.0,5003.770111271774,-0.8893364838063699,-0.04086719377244445,,0.9669838461896731,0.9665764248018079,0.01521368280538073,-301.14241943549604,,0.7971049929091888,0.5861770328665917,0.1330732864874765,False,0,measured,,False,False,False,False,False
