pl_radj,pl_massj,stellar_compatibility,orbital_stability,star_A,star_B,star_F,star_G,star_K,star_M,star_Unknown,radius_earth_scaled,mass_earth_scaled,orbital_period_scaled,semimajor_axis_scaled,eq_temp_k_scaled,density_scaled,star_temp_k_scaled,star_luminosity_scaled,star_metallicity_scaled
0.984,0.593,1.0,0.0903795370847006,0,0,0,1,0,0,0,6.943270967741934,-7.577365000000015,-0.277387227196891,-0.3381281477685992,1.4645892351274787,-0.5559400000000001,-0.2592288761279737,0.0,2.238095238095238
,2.89,0.7,8.726800743043407,0,0,1,0,0,0,0,0.0,722.47354123,61.65361029423634,15.752652561330716,0.0,0.0,0.5414273995077933,0.0,-0.8095238095238096
,,0.9,5.047336226291935,0,0,0,0,1,0,0,0.0,0.0,7.067497366166558,2.88688653661097,0.0,0.0,-0.1564123598578069,-0.21726,-0.7142857142857144
0.30422035,,1.0,2.649055013906217,0,0,0,1,0,0,0,0.7983870967741936,0.0,1.3316217353976845,0.7503405526325656,-0.6317280453257791,0.0,0.1946951052775499,0.0,-2.380952380952381
,,1.0,7.595889917718538,0,0,0,1,0,0,0,0.0,0.0,37.94713980414143,7.979304397815464,0.0,0.0,25.948044845501776,0.0,0.0
0.1088413,,1.0,0.0250504930040239,0,0,0,1,0,0,0,-0.9677419354838708,0.0,-0.3238608300630299,-0.4129122561455691,1.7223796033994334,0.0,-0.3489198796828001,0.0,0.2857142857142857
0.38362097,,1.0,4.14772514254527,0,0,0,1,0,0,0,1.5161290322580645,0.0,3.566830975881285,2.0755589437244586,-0.9121813031161472,0.0,1.273174733388023,0.0,0.0
0.12846842,,1.0,0.149953709118649,0,0,0,1,0,0,0,-0.7903225806451611,0.0,-0.2473788797362239,-0.2899383880925303,1.0708215297450423,0.0,0.4156412359857807,0.0,-0.2857142857142857
,0.00786588,1.0,3.655759297586775,0,0,0,1,0,0,0,0.0,-193.550555,0.0,16.47749853156204,0.0,0.0,0.0,0.0,0.0
0.28902573,,1.0,1.2811922070763124,0,0,0,1,0,0,0,0.6610353548387097,0.0,0.4574238769696885,0.0,-0.34671388101983,0.0,0.130161334427126,0.0,0.0
1.686,0.762,1.0,0.1598852791933581,0,0,0,1,0,0,0,13.288709677419352,46.12544499999999,-0.249273121357802,-0.2694427434170239,2.7507082152974505,-1.13,0.9505058791359038,0.6448699999999999,0.0
,0.122,1.0,3.4174733616284216,0,0,0,1,0,0,0,0.0,-157.27548935,0.0,12.778284614519414,0.0,0.0,0.0,0.0,0.0
1.35,2.14,1.0,0.1253711472019753,0,0,0,1,0,0,0,10.251712862903224,484.10223597999993,-0.2679631848147152,-0.2889386005473837,3.413881019830028,-0.2299999999999999,0.5173639595296692,0.0,0.8095238095238095
,27.0,1.0,13.987782620655215,0,0,0,1,0,0,0,0.0,8385.316434,1440.361685509618,134.45242885886748,0.0,0.0,0.0,0.0,0.0
0.24087828,,1.0,1.731650872658938,0,0,0,1,0,0,0,0.2258064516129033,0.0,0.562537368016845,0.3034355199520102,-0.8611898016997167,0.0,-0.3697019414820891,0.0,-1.142857142857143
0.33901388,,1.0,0.2936680541469079,0,0,0,1,0,0,0,1.1129032258064513,0.0,-0.1776887835980584,-0.2174537910693977,1.0736543909348442,0.0,0.1520371889526934,0.0,-0.6666666666666667
0.15612481,,1.0,3.258880444636389,0,0,0,1,0,0,0,-0.5403225806451611,0.0,2.1271152909950803,1.1257607758351351,-1.2436260623229465,0.0,-0.3565764287667487,0.0,0.0
